Product Name,Assembly Name,Assembly Description,Component SKU,Quantity,Category,Component Description,Notes
Brewhouse,42X36X10-GREY,,CSD423610,1,ENCLOSURE,42Hx36Wx10D Grey Type 4 Enclosure,
Brewhouse,42X36X10-GREY,,CP4236G,1,ENCLOSURE,Galvanized Subpanel for 42x36 enclosure,
Brewhouse,60AMP-NONFUSED,,GLAS-R9-60-NF-KIT,1,DISCONNECT,"60AMP COMPACT NON-FUSED DISCONNECT UL98, SELECTOR HANDLE RED/YELLOW NEM4X, 320MM SHAFT INTERNAL LUGS",
Brewhouse,60AMP-NONFUSED,,ADR21ITB,2,DISCONNECT,2/0AWG AL 1HOLE LUG LAMLA2/0-14Q,
Brewhouse,24VDC-5AMP-230V,,PS5R-VF24,1,POWERDIST,24VDC 5A 120VA Slim 85-264VAC,
Brewhouse,24VDC-5AMP-230V,,E93/30SCC,1,POWERDIST,CLASS CC 3POLE FUSE HOLDER INDICATING FLIP STYLE 30AMP DIN MOUNT,
Brewhouse,24VDC-5AMP-230V,,LP-CC-2,2,POWERDIST,2A CLASS CC Time Delay Fuse,
Brewhouse,24VDC-5AMP-230V,,LP-CC-8,1,POWERDIST,8A Class CC Time Delay Fuse,
Brewhouse,24VDC-5AMP-230V,,UD80A,3,POWERDIST,ERICO PDB (85AMP UL1059) Load: 3x10AWG & 3x4AWG,
Brewhouse,24VDC-5AMP-230V,,XTPAXLSA,4,POWERDIST,EATON - B Frame 3 Pole Feeder (60A Max),
Brewhouse,24VDC-5AMP-230V,,XTPAXCLKA5,1,POWERDIST,EATON - 3 Pole 5CMC Busbar (60A Max),
Brewhouse,1.5HP-230V3P-ON/OFF,,XTCE009B10TD,1,MOTORCONTROL,EATON - 9A (20A Gen.) Contactor 3P 1 N.O. DC Coil,
Brewhouse,1.5HP-230V3P-ON/OFF,,XTPR010BC1,1,MOTORCONTROL,EATON - MMP - Short Circuit/Phase/OL 6.3-10.0A,
Brewhouse,1.5HP-230V3P-ON/OFF,,XTPAXFA11,1,MOTORCONTROL,EATON - MMP Front Under Mount Auxiliary,
Brewhouse,1.5HP-230V3P-ON/OFF,,XTPAXEMCB,1,MOTORCONTROL,EATON - Connecting Link for MMP/CON Frame B:B,
Brewhouse,3HP-230V3P-ON/OFF,,XTCE009B10TD,1,MOTORCONTROL,EATON - 9A (20A Gen.) Contactor 3P 1 N.O. DC Coil,
Brewhouse,3HP-230V3P-ON/OFF,,XTPR012BC1,1,MOTORCONTROL,EATON - MMP - Short Circuit/Phase/OL 8.0-12.0A,
Brewhouse,3HP-230V3P-ON/OFF,,XTPAXEMCB,1,MOTORCONTROL,EATON - Connecting Link for MMP/CON Frame B:B,
Brewhouse,3HP-230V3P-ON/OFF,,XTPAXFA11,1,MOTORCONTROL,EATON - MMP Front Under Mount Auxiliary,
Brewhouse,3HP-230V3P-VFD,,DM1-32011NB-S20S,1,MOTORCONTROL,DM1 PRO 3PH 230V FR2 3HP 11A CT NOEMC,
Brewhouse,3HP-230V3P-VFD,,XTPR6P3BC1,1,MOTORCONTROL,EATON - MMP - Short Circuit/Phase/OL 4.0-6.3A,
Brewhouse,3HP-230V3P-VFD,,XTPAXFA11,1,MOTORCONTROL,EATON - MMP Front Under Mount Auxiliary,
Brewhouse,3HP-230V3P-VFD,,XTPAXEMCB,1,MOTORCONTROL,EATON - Connecting Link for MMP/CON Frame B:B,
