VENDORCODE,PART ABBREV.,Vendor Part Code,Manufacturer PART NUMBER,PART DESCRIPTION & DETAILS,COST,Unit/Qty,SUB CATEGORY,LAST PRICE UPDATE,SHELF QTY,Notes,ORDER QTY (MATT),TOTAL COST (MATT),ADD TO ORDER (MATT)
,MMP,34080,A6044CHNFSS,6Hx4Wx4D SS JBOX,$161.06,ea.,,10/01/25,,,,$0.00,
KDL,ENC,2332847,A8066CHFL,8Hx6Wx6D Grey Type 4 Enclosure,$65.91,ea.,"HOFFMAN
GREY TYPE 4",10/01/25,,,,$0.00,
KDL,PAN,2154173,A8P6G,Galvanized Subpanel for 8X6 Enclosure,$4.17,ea.,HOFFMAN SUBPANELS,10/01/25,,,,$0.00,
KDL,ENC,2332849,A10106CHFL,10Hx10Wx6D Grey Type 4 Enclosure,$84.23,ea.,"HOFFMAN
GREY TYPE 4",10/01/25,,,,$0.00,
KDL,PAN,2427559,A10P10G,Galvanized Subpanel for 10X10 Enclosure,$7.15,ea.,HOFFMAN SUBPANELS,10/01/25,,,,$0.00,
KDL,ENC,2322899,A16148CHFL,16Hx14Wx8D Grey Type 4 Enclosure,$138.51,ea.,"HOFFMAN
GREY TYPE 4",06/13/25,,,,$0.00,
KDL,ENC,2339291,A16P14G,Galvanized Subpanel for 16X14 Enclosure,$13.44,ea.,HOFFMAN SUBPANELS,06/13/25,,,,$0.00,
KDL,ENC,34417,CSD16126,16Hx12Wx6D Grey Type 4 Enclosure,$178.35,ea.,"HOFFMAN
GREY TYPE 4",06/13/25,,,,$0.00,
KDL,ENC,2076641,CP1612G,Galvanized Subpanel for 16x12 Enclosure,$8.00,ea.,HOFFMAN SUBPANELS,06/13/25,,,,$0.00,
KDL,ENC,34422,CSD16166,16Hx16Wx6D Grey Type 4 Enclosure,$191.65,ea.,"HOFFMAN
GREY TYPE 4",10/01/25,,,,$0.00,
KDL,ENC,2027548,CSD161610,16Hx16Wx10D Grey Type 4 Enclosure,$206.20,ea.,"HOFFMAN
GREY TYPE 4",06/13/25,,,,$0.00,
KDL,PAN,2065039,CP1616G,Galvanized Subpanel for 16x16 Enclosure,$20.33,ea.,HOFFMAN SUBPANELS,10/01/25,,,,$0.00,
KDL,ENC,34429,CSD201606,20Hx16Wx6D Grey Type 4 Enclosure,$204.96,ea.,"HOFFMAN
GREY TYPE 4",10/16/25,,,,$0.00,
KDL,ENC,34432,CSD201608,20Hx16Wx8D Grey Type 4 Enclosure,$216.18,ea.,"HOFFMAN
GREY TYPE 4",06/13/25,,,,$0.00,
KDL,ENC,2049675,CSD201610,20Hx16Wx10D Grey Type 4 Enclosure,$221.17,ea.,"HOFFMAN
GREY TYPE 4",10/01/25,,,,$0.00,
KDL,PAN,2299097,CP2016G,Galvanized Subpanel for 20x16 Enclosure,$23.31,ea.,HOFFMAN SUBPANELS,10/01/25,,,,$0.00,
KDL,PAN,34387,CP2016,(Painted White) Subpanel for 20x16 Enclosure,$20.06,ea.,HOFFMAN SUBPANELS,10/25/24,,,,$0.00,
KDL,ENC,34430,CSD201606SS,STAINLESS 20Hx16Wx6D Type 4x Enclosure,$404.33,ea.,"HOFFMAN
STAINLESS STEEL 
TYPE 4X",10/25/23,,,,$0.00,
KDL,ENC,,CSD201608SS,STAINLESS 20Hx16Wx8D Type 4x Enclosure,$427.72,ea.,"HOFFMAN
STAINLESS STEEL 
TYPE 4X",10/25/24,,,,$0.00,
KDL,ENC,,CSD201610SS,STAINLESS 20Hx16Wx10D Type 4x Enclosure,$723.32,ea.,"HOFFMAN
STAINLESS STEEL 
TYPE 4X",10/01/23,,,,$0.00,
KDL,ENC,34437,CSD20206,20Hx20Wx06D Grey Type 4 Enclosure,$221.17,ea.,"HOFFMAN
GREY TYPE 4",10/01/25,,,,$0.00,
KDL,ENC,34438,CSD20208,20Hx20Wx08D Grey Type 4 Enclosure,$233.64,ea.,"HOFFMAN
GREY TYPE 4",10/01/25,,,,$0.00,
KDL,ENC,34435,CSD202010,20Hx20Wx10D Grey Type 4 Enclosure,$239.88,ea.,"HOFFMAN
GREY TYPE 4",10/01/25,,,,$0.00,
KDL,PAN,2299101,CP2020G,Galvanized Subpanel for 20x20 enclosure,$27.98,ea.,HOFFMAN SUBPANELS,10/01/25,,,,$0.00,
KDL,PAN,34388,CP2020,(Painted White) Subpanel for 20x20 enclosure,$23.54,ea.,HOFFMAN SUBPANELS,10/25/24,,,,$0.00,
