qt,PART,              DESCRIPTION,PART#,VNDR,VNDR#,COST,UNIT,VOLT,PHASE,AMPS,ASSEMBLY,TAGS,NOTES,LAST PRICE UPDATE,MANUAL Link
,ENC,6Hx4Wx4D SS JBOX,A6044CHNFSS,KDL,34080,$161.06,ea.,,,,ENCLOSURE,,,6/13/2025,https://www.nvent.com/en-us/hoffman/products/enca6044chnfss?srsltid=AfmBOoobEDP9d182ZB98crNLe5dlVAZnOUmm6axeBw7kV-P1vk8kaV_M
,ENC,8Hx6Wx6D Grey Type 4 Enclosure,A8066CHFL,KDL,2332847,$65.91,ea.,,,,ENCLOSURE,,,6/13/2025,
,PAN,Galvanized Subpanel for 8X6 Enclosure,A8P6G,KDL,2154173,$4.17,ea.,,,,ENCLOSURE,,,6/13/2025,
,ENC,10Hx10Wx6D Grey Type 4 Enclosure,A10106CHFL,KDL,2332849,$84.23,ea.,,,,ENCLOSURE,,,6/13/2025,
,PAN,Galvanized Subpanel for 10X10 Enclosure,A10P10G,KDL,2427559,$6.70,ea.,,,,ENCLOSURE,,,6/13/2025,
,ENC,16Hx14Wx8D Grey Type 4 Enclosure,A16148CHFL,KDL,2322899,$138.51,ea.,,,,ENCLOSURE,,,6/13/2025,
,ENC,Galvanized Subpanel for 16X14 Enclosure,A16P14G,KDL,2339291,$13.44,ea.,,,,ENCLOSURE,,,6/13/2025,
,ENC,16Hx12Wx6D Grey Type 4 Enclosure,CSD16126,KDL,34417,$178.35,ea.,,,,ENCLOSURE,,,6/13/2025,
,ENC,Galvanized Subpanel for 16x12 Enclosure,CP1612G,KDL,2076641,$8.00,ea.,,,,ENCLOSURE,,,6/13/2025,
,ENC,16Hx16Wx6D Grey Type 4 Enclosure,CSD16166,KDL,34422,$191.65,ea.,,,,ENCLOSURE,,,6/13/2025,
,ENC,16Hx16Wx10D Grey Type 4 Enclosure,CSD161610,KDL,2027548,$206.20,ea.,,,,ENCLOSURE,,,6/13/2025,
,PAN,Galvanized Subpanel for 16x16 Enclosure,CP1616G,KDL,2065039,$20.33,ea.,,,,ENCLOSURE,,,6/13/2025,
